"Gruppe";"KommuneNr";"FV2015 - Stemmeberettigede";"FV2015 - Afgivne stemmer";"FV2015 - Blanke stemmer";"FV2015 - Andre ugyldige stemmer";"FV2015 - Gyldige stemmer";"FV2015 - Socialdemokratiet";"FV2015 - Radikale Venstre";"FV2015 - Konservative Folkeparti";"FV2015 - Socialistisk Folkeparti";"FV2015 - Centrum-Demokraterne";"FV2015 - Kristendemokraterne";"FV2015 - Liberal Alliance";"FV2015 - Dansk Folkeparti";"FV2015 - Kristeligt Folkeparti";"FV2015 - Minoritetspartiet";"FV2015 - Venstre";"FV2015 - Ny Alliance";"FV2015 - Fremskridtspartiet";"FV2015 - Enhedslisten";"FV2015 - Alternativet";"FV2015 - Uden for partierne";"FV2015 - Uden for partierne";"FV2015 - Uden for partierne";"FV2015 - Stram Kurs";"FV2015 - Klaus Riskær Pedersen";"FV2015 - Uden for partierne";"FV2015 - Uden for partierne";"FV2015 - Uden for partierne";"FV2011 - Stemmeberettigede";"FV2011 - Afgivne stemmer";"FV2011 - Blanke stemmer";"FV2011 - Andre ugyldige stemmer";"FV2011 - Gyldige stemmer";"FV2011 - Socialdemokratiet";"FV2011 - Radikale Venstre";"FV2011 - Konservative Folkeparti";"FV2011 - Socialistisk Folkeparti";"FV2011 - Centrum-Demokraterne";"FV2011 - Kristendemokraterne";"FV2011 - Liberal Alliance";"FV2011 - Dansk Folkeparti";"FV2011 - Kristeligt Folkeparti";"FV2011 - Minoritetspartiet";"FV2011 - Venstre";"FV2011 - Ny Alliance";"FV2011 - Fremskridtspartiet";"FV2011 - Enhedslisten";"FV2011 - Alternativet";"FV2011 - Uden for partierne";"FV2011 - Uden for partierne";"FV2011 - Uden for partierne";"FV2011 - Stram Kurs";"FV2011 - Klaus Riskær Pedersen";"FV2011 - Uden for partierne";"FV2011 - Uden for partierne";"FV2011 - Uden for partierne";"FV2007 - Stemmeberettigede";"FV2007 - Afgivne stemmer";"FV2007 - Blanke stemmer";"FV2007 - Andre ugyldige stemmer";"FV2007 - Gyldige stemmer";"FV2007 - Socialdemokratiet";"FV2007 - Radikale Venstre";"FV2007 - Konservative Folkeparti";"FV2007 - Socialistisk Folkeparti";"FV2007 - Centrum-Demokraterne";"FV2007 - Kristendemokraterne";"FV2007 - Liberal Alliance";"FV2007 - Dansk Folkeparti";"FV2007 - Kristeligt Folkeparti";"FV2007 - Minoritetspartiet";"FV2007 - Venstre";"FV2007 - Ny Alliance";"FV2007 - Fremskridtspartiet";"FV2007 - Enhedslisten";"FV2007 - Alternativet";"FV2007 - Uden for partierne";"FV2007 - Uden for partierne";"FV2007 - Uden for partierne";"FV2007 - Stram Kurs";"FV2007 - Klaus Riskær Pedersen";"FV2007 - Uden for partierne";"FV2007 - Uden for partierne";"FV2007 - Uden for partierne";"FV2001 - Stemmeberettigede";"FV2001 - Afgivne stemmer";"FV2001 - Blanke stemmer";"FV2001 - Andre ugyldige stemmer";"FV2001 - Gyldige stemmer";"FV2001 - Socialdemokratiet";"FV2001 - Radikale Venstre";"FV2001 - Konservative Folkeparti";"FV2001 - Socialistisk Folkeparti";"FV2001 - Centrum-Demokraterne";"FV2001 - Kristendemokraterne";"FV2001 - Liberal Alliance";"FV2001 - Dansk Folkeparti";"FV2001 - Kristeligt Folkeparti";"FV2001 - Minoritetspartiet";"FV2001 - Venstre";"FV2001 - Ny Alliance";"FV2001 - Fremskridtspartiet";"FV2001 - Enhedslisten";"FV2001 - Alternativet";"FV2001 - Uden for partierne";"FV2001 - Uden for partierne";"FV2001 - Uden for partierne";"FV2001 - Stram Kurs";"FV2001 - Klaus Riskær Pedersen";"FV2001 - Uden for partierne";"FV2001 - Uden for partierne";"FV2001 - Uden for partierne";"FV2005 - Stemmeberettigede";"FV2005 - Afgivne stemmer";"FV2005 - Blanke stemmer";"FV2005 - Andre ugyldige stemmer";"FV2005 - Gyldige stemmer";"FV2005 - Socialdemokratiet";"FV2005 - Radikale Venstre";"FV2005 - Konservative Folkeparti";"FV2005 - Socialistisk Folkeparti";"FV2005 - Centrum-Demokraterne";"FV2005 - Kristendemokraterne";"FV2005 - Liberal Alliance";"FV2005 - Dansk Folkeparti";"FV2005 - Kristeligt Folkeparti";"FV2005 - Minoritetspartiet";"FV2005 - Venstre";"FV2005 - Ny Alliance";"FV2005 - Fremskridtspartiet";"FV2005 - Enhedslisten";"FV2005 - Alternativet";"FV2005 - Uden for partierne";"FV2005 - Uden for partierne";"FV2005 - Uden for partierne";"FV2005 - Stram Kurs";"FV2005 - Klaus Riskær Pedersen";"FV2005 - Uden for partierne";"FV2005 - Uden for partierne";"FV2005 - Uden for partierne";"FV2019 - Stemmeberettigede";"FV2019 - Afgivne stemmer";"FV2019 - Blanke stemmer";"FV2019 - Andre ugyldige stemmer";"FV2019 - Gyldige stemmer";"FV2019 - Socialdemokratiet";"FV2019 - Radikale Venstre";"FV2019 - Konservative Folkeparti";"FV2019 - Socialistisk Folkeparti";"FV2019 - Centrum-Demokraterne";"FV2019 - Kristendemokraterne";"FV2019 - Liberal Alliance";"FV2019 - Dansk Folkeparti";"FV2019 - Kristeligt Folkeparti";"FV2019 - Minoritetspartiet";"FV2019 - Venstre";"FV2019 - Ny Alliance";"FV2019 - Fremskridtspartiet";"FV2019 - Enhedslisten";"FV2019 - Alternativet";"FV2019 - Uden for partierne";"FV2019 - Uden for partierne";"FV2019 - Uden for partierne";"FV2019 - Stram Kurs";"FV2019 - Klaus Riskær Pedersen";"FV2019 - Uden for partierne";"FV2019 - Uden for partierne";"FV2019 - Uden for partierne"
"167005";"167";"36798";"30896";"253";"53";"30590";"9738";"1112";"730";"1550";"-";"136";"1738";"7764";"-";"-";"3752";"-";"-";"2827";"1132";"104";"7";"-";"-";"-";"-";"-";"-";"36028";"31299";"232";"65";"31002";"8886";"2620";"1298";"3213";"-";"106";"1204";"5121";"-";"-";"5872";"-";"-";"2652";"-";"30";"-";"-";"-";"-";"-";"-";"-";"35591";"30590";"133";"55";"30402";"9371";"1282";"2492";"4468";"-";"153";"-";"5751";"-";"-";"5255";"784";"-";"840";"-";"1";"5";"-";"-";"-";"-";"-";"-";"36222";"31396";"196";"85";"31115";"10952";"1232";"1852";"2366";"557";"-";"-";"5335";"397";"-";"7318";"-";"110";"996";"-";"-";"-";"-";"-";"-";"-";"-";"-";"36166";"30180";"172";"73";"29935";"9138";"2419";"2295";"2021";"347";"228";"-";"5739";"-";"78";"6283";"-";"-";"1365";"-";"22";"-";"-";"-";"-";"-";"-";"-";"36674";"30526";"244";"58";"30224";"8886";"2666";"1532";"3424";"720";"326";"533";"3298";"-";"-";"4518";"-";"-";"2389";"886";"7";"100";"-";"681";"258";"-";"-";"-"
"169006";"169";"32726";"27364";"268";"89";"27007";"7860";"950";"1345";"1181";"-";"109";"1629";"6919";"-";"-";"4152";"-";"-";"1916";"910";"31";"5";"-";"-";"-";"-";"-";"-";"32580";"28282";"177";"105";"28000";"7728";"2520";"1798";"2240";"-";"89";"1150";"4171";"-";"-";"6667";"-";"-";"1607";"-";"30";"-";"-";"-";"-";"-";"-";"-";"32506";"27915";"159";"66";"27690";"7894";"1169";"3209";"3216";"-";"124";"-";"4635";"-";"-";"6216";"792";"-";"431";"-";"0";"4";"-";"-";"-";"-";"-";"-";"32218";"28132";"170";"92";"27870";"8705";"1007";"2250";"1498";"558";"-";"-";"4447";"368";"-";"8432";"-";"96";"509";"-";"-";"-";"-";"-";"-";"-";"-";"-";"31902";"26827";"133";"62";"26632";"7198";"1921";"2703";"1406";"310";"249";"-";"4941";"-";"71";"7078";"-";"-";"747";"-";"8";"-";"-";"-";"-";"-";"-";"-";"32644";"27025";"220";"107";"26698";"7248";"2406";"2670";"2221";"736";"254";"506";"2867";"-";"-";"4423";"-";"-";"1615";"834";"3";"83";"-";"605";"227";"-";"-";"-"
"173009";"173";"38547";"34236";"285";"86";"33865";"7904";"3048";"2360";"1550";"-";"133";"4239";"4188";"-";"-";"6231";"-";"-";"2235";"1956";"19";"2";"-";"-";"-";"-";"-";"-";"38043";"34409";"212";"93";"34104";"6141";"5420";"3275";"2740";"-";"103";"2591";"2815";"-";"-";"8989";"-";"-";"2015";"-";"15";"-";"-";"-";"-";"-";"-";"-";"37573";"33595";"124";"92";"33379";"6782";"2976";"6269";"4040";"-";"152";"-";"3261";"-";"-";"7513";"1601";"-";"779";"-";"4";"2";"-";"-";"-";"-";"-";"-";"38988";"34803";"152";"110";"34541";"7577";"2955";"4745";"2413";"1032";"-";"-";"3182";"627";"-";"11055";"-";"99";"856";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38194";"33398";"146";"96";"33156";"6130";"4538";"6332";"1985";"400";"397";"-";"3356";"-";"93";"8790";"-";"-";"1130";"-";"5";"-";"-";"-";"-";"-";"-";"-";"39002";"34386";"206";"100";"34080";"6131";"5235";"5209";"3057";"692";"282";"1244";"1518";"-";"-";"6776";"-";"-";"2051";"1092";"1";"79";"-";"413";"300";"-";"-";"-"
"175006";"175";"26973";"22727";"188";"91";"22448";"7590";"884";"611";"1152";"-";"127";"1236";"5039";"-";"-";"2671";"-";"-";"2172";"941";"21";"4";"-";"-";"-";"-";"-";"-";"26725";"23212";"169";"61";"22982";"7270";"2053";"1012";"2261";"-";"93";"838";"3362";"-";"-";"4212";"-";"-";"1862";"-";"19";"-";"-";"-";"-";"-";"-";"-";"26671";"22889";"105";"39";"22745";"7607";"1020";"1953";"3337";"-";"113";"-";"3875";"-";"-";"3743";"518";"-";"577";"-";"0";"2";"-";"-";"-";"-";"-";"-";"27478";"23894";"189";"71";"23634";"8644";"966";"1566";"1903";"453";"-";"-";"3839";"356";"-";"5197";"-";"86";"624";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26975";"22514";"113";"63";"22338";"7479";"1776";"1800";"1528";"269";"236";"-";"3897";"-";"61";"4348";"-";"-";"939";"-";"5";"-";"-";"-";"-";"-";"-";"-";"28154";"23313";"177";"69";"23067";"7241";"2007";"1268";"2463";"518";"234";"450";"2129";"-";"-";"3304";"-";"-";"1990";"660";"3";"81";"-";"533";"186";"-";"-";"-"
"183001";"183";"13493";"10715";"67";"49";"10599";"3612";"318";"187";"663";"-";"31";"495";"2845";"-";"-";"1279";"-";"-";"821";"317";"29";"2";"-";"-";"-";"-";"-";"-";"13254";"11224";"74";"76";"11074";"3530";"809";"380";"1166";"-";"23";"384";"1774";"-";"-";"2176";"-";"-";"822";"-";"10";"-";"-";"-";"-";"-";"-";"-";"13102";"10973";"53";"65";"10855";"3538";"354";"752";"1526";"-";"40";"-";"2177";"-";"-";"1952";"262";"-";"252";"-";"0";"2";"-";"-";"-";"-";"-";"-";"13539";"11596";"55";"52";"11489";"4029";"434";"649";"684";"214";"-";"-";"2127";"105";"-";"2906";"-";"36";"305";"-";"-";"-";"-";"-";"-";"-";"-";"-";"13322";"10841";"45";"47";"10749";"3379";"747";"727";"593";"120";"77";"-";"2318";"-";"45";"2322";"-";"-";"418";"-";"3";"-";"-";"-";"-";"-";"-";"-";"13732";"10785";"80";"34";"10671";"3224";"1357";"397";"910";"326";"73";"154";"1219";"-";"-";"1518";"-";"-";"782";"350";"0";"16";"-";"276";"69";"-";"-";"-"
"185005";"185";"30714";"26184";"180";"85";"25919";"7561";"945";"682";"1200";"-";"90";"1404";"7480";"-";"-";"3476";"-";"-";"2165";"882";"27";"0";"3";"-";"-";"4";"-";"-";"30075";"26294";"184";"89";"26021";"6509";"2032";"1096";"2548";"-";"85";"1024";"4852";"-";"-";"5808";"-";"-";"2044";"-";"7";"5";"0";"-";"-";"1";"8";"2";"29565";"25596";"111";"78";"25407";"7441";"933";"2089";"3548";"-";"105";"-";"5109";"-";"-";"5073";"670";"-";"429";"-";"1";"3";"2";"-";"-";"0";"4";"-";"30062";"26285";"173";"85";"26027";"9454";"874";"1512";"1683";"420";"-";"-";"4695";"324";"-";"6413";"-";"87";"565";"-";"-";"-";"-";"-";"-";"-";"-";"-";"29617";"24931";"144";"57";"24730";"7453";"1554";"1931";"1586";"297";"197";"-";"4977";"-";"51";"5798";"-";"-";"881";"-";"5";"-";"-";"-";"-";"-";"-";"-";"30452";"25381";"234";"76";"25071";"7864";"1772";"1202";"2001";"626";"188";"439";"3101";"-";"-";"4734";"-";"-";"1635";"611";"2";"3";"3";"589";"283";"15";"3";"-"
"187003";"187";"10341";"9041";"61";"44";"8936";"2401";"347";"633";"360";"-";"26";"818";"2043";"-";"-";"1634";"-";"-";"450";"211";"12";"1";"-";"-";"-";"-";"-";"-";"9974";"9029";"49";"35";"8945";"1991";"813";"962";"621";"-";"21";"446";"1275";"-";"-";"2488";"-";"-";"325";"-";"3";"-";"-";"-";"-";"-";"-";"-";"8823";"8041";"33";"35";"7973";"1886";"352";"1651";"668";"-";"31";"-";"1258";"-";"-";"1808";"232";"-";"84";"-";"0";"3";"-";"-";"-";"-";"-";"-";"9042";"8285";"36";"20";"8229";"2112";"307";"1304";"347";"181";"-";"-";"1158";"102";"-";"2609";"-";"22";"87";"-";"-";"-";"-";"-";"-";"-";"-";"-";"8922";"7961";"35";"18";"7908";"1740";"538";"1498";"324";"82";"59";"-";"1305";"-";"19";"2174";"-";"-";"166";"-";"3";"-";"-";"-";"-";"-";"-";"-";"10660";"9248";"69";"35";"9144";"2272";"890";"1279";"650";"212";"65";"217";"832";"-";"-";"1834";"-";"-";"428";"244";"3";"17";"-";"142";"59";"-";"-";"-"
"190006";"190";"27389";"24642";"174";"65";"24403";"5923";"2233";"1334";"1018";"-";"93";"3026";"3015";"-";"-";"4658";"-";"-";"1802";"1290";"10";"1";"-";"-";"-";"-";"-";"-";"26510";"24247";"120";"79";"24048";"4419";"3743";"1888";"1866";"-";"52";"1867";"1850";"-";"-";"6780";"-";"-";"1577";"-";"6";"-";"-";"-";"-";"-";"-";"-";"26077";"23848";"97";"39";"23712";"4611";"2220";"3660";"3194";"-";"87";"-";"2398";"-";"-";"5665";"1237";"-";"640";"-";"-";"-";"-";"-";"-";"-";"-";"-";"26037";"23846";"137";"45";"23664";"4886";"1914";"2356";"1998";"673";"-";"-";"2011";"415";"-";"8619";"-";"64";"728";"-";"-";"-";"-";"-";"-";"-";"-";"-";"25873";"23203";"104";"45";"23054";"4232";"3427";"3584";"1535";"275";"262";"-";"2380";"-";"48";"6372";"-";"-";"935";"-";"4";"-";"-";"-";"-";"-";"-";"-";"27993";"24987";"140";"52";"24795";"4971";"3950";"3080";"1987";"534";"223";"837";"1129";"-";"-";"5174";"-";"-";"1678";"790";"2";"17";"-";"242";"181";"-";"-";"-"
"201003";"201";"17462";"16109";"119";"40";"15950";"3450";"1287";"1171";"664";"-";"72";"2012";"2388";"-";"-";"3483";"-";"-";"798";"622";"1";"2";"-";"-";"-";"-";"-";"-";"16894";"15764";"88";"45";"15631";"2414";"2181";"1362";"1156";"-";"67";"1271";"1328";"-";"-";"5216";"-";"-";"632";"-";"4";"-";"-";"-";"-";"-";"-";"-";"16448";"15155";"43";"30";"15082";"2488";"1323";"2566";"1595";"-";"85";"-";"1493";"-";"-";"4603";"711";"-";"218";"-";"-";"-";"-";"-";"-";"-";"-";"-";"16515";"15258";"78";"30";"15150";"2917";"1103";"1803";"1064";"389";"-";"-";"1328";"312";"-";"5929";"-";"51";"254";"-";"-";"-";"-";"-";"-";"-";"-";"-";"16455";"14932";"82";"30";"14820";"2313";"1945";"2370";"798";"139";"214";"-";"1477";"-";"21";"5172";"-";"-";"371";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18276";"16708";"102";"50";"16556";"3079";"2359";"2380";"1171";"468";"171";"560";"907";"-";"-";"3977";"-";"-";"782";"424";"1";"18";"-";"144";"115";"-";"-";"-"
"210005";"210";"27969";"24503";"169";"49";"24285";"5139";"1729";"1357";"999";"-";"123";"2920";"4267";"-";"-";"4998";"-";"-";"1551";"1189";"9";"4";"-";"-";"-";"-";"-";"-";"27512";"24728";"99";"41";"24588";"4281";"3103";"1965";"1906";"-";"85";"1855";"2432";"-";"-";"7779";"-";"-";"1170";"-";"12";"-";"-";"-";"-";"-";"-";"-";"27299";"24309";"100";"62";"24147";"4654";"1897";"3535";"2525";"-";"106";"-";"2889";"-";"-";"6904";"1148";"-";"489";"-";"-";"-";"-";"-";"-";"-";"-";"-";"27650";"24754";"144";"35";"24575";"5342";"1818";"2517";"1577";"530";"-";"-";"2665";"448";"-";"9108";"-";"95";"475";"-";"-";"-";"-";"-";"-";"-";"-";"-";"27335";"23685";"109";"42";"23534";"4200";"3027";"3105";"1218";"260";"248";"-";"3050";"-";"56";"7701";"-";"-";"669";"-";"-";"-";"-";"-";"-";"-";"-";"-";"28323";"24686";"127";"43";"24516";"4802";"3258";"2787";"1764";"739";"257";"908";"1767";"-";"-";"5605";"-";"-";"1324";"719";"1";"19";"-";"313";"253";"-";"-";"-"
"217010";"217";"45463";"38651";"259";"123";"38269";"9688";"2036";"2388";"1536";"-";"144";"3690";"8019";"-";"-";"5552";"-";"-";"3124";"2081";"9";"2";"-";"-";"-";"-";"-";"-";"44425";"38821";"224";"152";"38445";"9092";"4237";"2436";"3289";"-";"95";"2344";"4519";"-";"-";"9953";"-";"-";"2469";"-";"11";"-";"-";"-";"-";"-";"-";"-";"44073";"37896";"132";"68";"37696";"9523";"2590";"4425";"4844";"-";"156";"-";"5163";"-";"-";"8511";"1535";"-";"949";"-";"-";"-";"-";"-";"-";"-";"-";"-";"44302";"38120";"234";"135";"37751";"11139";"2382";"4403";"2673";"804";"-";"-";"4569";"535";"-";"10169";"-";"160";"917";"-";"-";"-";"-";"-";"-";"-";"-";"-";"44406";"36898";"172";"59";"36667";"9051";"4486";"4360";"2091";"477";"342";"-";"5145";"-";"87";"9296";"-";"-";"1332";"-";"-";"-";"-";"-";"-";"-";"-";"-";"46229";"38854";"286";"105";"38463";"9520";"4219";"4237";"2766";"1453";"297";"1126";"3127";"-";"-";"6500";"-";"-";"2881";"1229";"5";"26";"-";"672";"405";"-";"-";"-"
"219009";"219";"35201";"31144";"230";"87";"30827";"7348";"1917";"1238";"1412";"-";"431";"3019";"5345";"-";"-";"6426";"-";"-";"2169";"1508";"9";"5";"-";"-";"-";"-";"-";"-";"34111";"30790";"152";"97";"30541";"6190";"3746";"1845";"2425";"-";"264";"1895";"2921";"-";"-";"9352";"-";"-";"1891";"-";"12";"-";"-";"-";"-";"-";"-";"-";"32929";"29401";"121";"61";"29219";"7095";"2024";"3724";"3310";"-";"298";"-";"3314";"-";"-";"7532";"1148";"-";"774";"-";"-";"-";"-";"-";"-";"-";"-";"-";"31884";"28552";"184";"59";"28309";"7339";"1819";"2478";"2015";"652";"-";"-";"2788";"916";"-";"9523";"-";"87";"692";"-";"-";"-";"-";"-";"-";"-";"-";"-";"32049";"27921";"149";"63";"27709";"5727";"3306";"3443";"1773";"310";"711";"-";"3143";"-";"57";"8308";"-";"-";"931";"-";"-";"-";"-";"-";"-";"-";"-";"-";"36565";"31841";"211";"70";"31560";"7349";"3564";"2691";"2345";"1024";"704";"978";"2067";"-";"-";"7119";"-";"-";"1977";"1004";"4";"44";"-";"463";"227";"-";"-";"-"
"223004";"223";"18147";"16413";"87";"34";"16292";"2384";"1119";"1726";"312";"-";"38";"3262";"2174";"-";"-";"4379";"-";"-";"452";"444";"2";"0";"-";"-";"-";"-";"-";"-";"17728";"16379";"46";"23";"16310";"1700";"1839";"2251";"505";"-";"27";"1824";"1247";"-";"-";"6535";"-";"-";"379";"-";"3";"-";"-";"-";"-";"-";"-";"-";"17627";"15995";"39";"22";"15934";"1872";"1157";"3861";"753";"-";"31";"-";"1516";"-";"-";"5696";"894";"-";"154";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18038";"16455";"55";"27";"16373";"2122";"1219";"3030";"494";"357";"-";"-";"1394";"252";"-";"7323";"-";"36";"146";"-";"-";"-";"-";"-";"-";"-";"-";"-";"17763";"15785";"43";"30";"15712";"1632";"1750";"3602";"349";"136";"136";"-";"1567";"-";"18";"6329";"-";"-";"193";"-";"-";"-";"-";"-";"-";"-";"-";"-";"18275";"16387";"71";"19";"16297";"1869";"1910";"3533";"595";"516";"126";"921";"805";"-";"-";"5096";"-";"-";"393";"225";"0";"8";"-";"177";"123";"-";"-";"-"
"230001";"230";"38987";"35371";"206";"100";"35065";"5801";"3327";"2691";"1049";"-";"105";"6625";"3809";"-";"-";"8306";"-";"-";"1677";"1662";"1";"12";"-";"-";"-";"-";"-";"-";"38393";"35397";"140";"94";"35163";"4094";"5443";"3469";"1851";"-";"60";"3820";"2200";"-";"-";"12679";"-";"-";"1529";"-";"18";"-";"-";"-";"-";"-";"-";"-";"37991";"34644";"121";"80";"34443";"4630";"3519";"6255";"2996";"-";"100";"-";"2663";"-";"-";"11497";"2064";"-";"719";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38855";"35440";"140";"85";"35215";"5593";"3322";"4670";"1914";"983";"-";"-";"2545";"622";"-";"14757";"-";"82";"727";"-";"-";"-";"-";"-";"-";"-";"-";"-";"38367";"34447";"126";"88";"34233";"4459";"4774";"6750";"1515";"359";"322";"-";"2754";"-";"71";"12310";"-";"-";"918";"-";"1";"-";"-";"-";"-";"-";"-";"-";"39511";"35484";"178";"78";"35228";"4501";"5841";"6143";"1872";"886";"238";"1881";"1326";"-";"-";"9216";"-";"-";"1640";"1049";"0";"31";"-";"308";"296";"-";"-";"-"
"240001";"240";"30333";"27528";"184";"77";"27267";"6778";"1380";"1113";"959";"-";"89";"2698";"6026";"-";"-";"5955";"-";"-";"1351";"909";"5";"4";"-";"-";"-";"-";"-";"-";"29533";"27346";"144";"90";"27112";"5663";"2958";"1590";"1757";"-";"75";"1858";"3293";"-";"-";"8838";"-";"-";"1072";"-";"8";"-";"-";"-";"-";"-";"-";"-";"28471";"26135";"99";"49";"25987";"5543";"1532";"3675";"2460";"-";"94";"-";"3581";"-";"-";"7755";"994";"-";"353";"-";"-";"-";"-";"-";"-";"-";"-";"-";"27472";"25337";"156";"49";"25132";"6020";"1202";"2411";"1384";"662";"-";"-";"3162";"345";"-";"9475";"-";"82";"389";"-";"-";"-";"-";"-";"-";"-";"-";"-";"27860";"25044";"134";"46";"24864";"4983";"2273";"3361";"1200";"319";"222";"-";"3552";"-";"47";"8319";"-";"-";"587";"-";"1";"-";"-";"-";"-";"-";"-";"-";"30988";"27771";"199";"66";"27506";"6730";"2566";"2406";"1961";"873";"227";"862";"2478";"-";"-";"6889";"-";"-";"1234";"575";"3";"13";"-";"411";"278";"-";"-";"-"
"250006";"250";"33493";"29029";"213";"109";"28707";"7251";"1065";"872";"1221";"-";"105";"2027";"7017";"-";"-";"6158";"-";"-";"1919";"1056";"15";"1";"-";"-";"-";"-";"-";"-";"32904";"29058";"153";"138";"28767";"6457";"2464";"1187";"2394";"-";"110";"1543";"3929";"-";"-";"9156";"-";"-";"1518";"-";"9";"-";"-";"-";"-";"-";"-";"-";"32337";"28378";"140";"83";"28155";"7005";"1379";"3004";"3164";"-";"95";"-";"4496";"-";"-";"7685";"890";"-";"437";"-";"-";"-";"-";"-";"-";"-";"-";"-";"31052";"27711";"211";"67";"27433";"7667";"1236";"1949";"1729";"546";"-";"-";"3475";"406";"-";"9767";"-";"123";"535";"-";"-";"-";"-";"-";"-";"-";"-";"-";"31638";"27264";"158";"55";"27051";"6244";"2385";"2487";"1408";"266";"232";"-";"4271";"-";"48";"8946";"-";"-";"764";"-";"-";"-";"-";"-";"-";"-";"-";"-";"34253";"29141";"227";"71";"28843";"7548";"1927";"2036";"1981";"1089";"245";"600";"3054";"-";"-";"7245";"-";"-";"1654";"599";"2";"16";"-";"552";"295";"-";"-";"-"
"253003";"253";"35105";"30665";"204";"90";"30371";"7377";"998";"889";"812";"-";"119";"2453";"8170";"-";"-";"7355";"-";"-";"1503";"679";"15";"1";"0";"-";"-";"-";"-";"-";"34270";"30753";"167";"115";"30471";"6102";"2358";"1726";"1939";"-";"90";"1677";"5253";"-";"-";"10192";"-";"-";"1130";"-";"2";"1";"1";"-";"-";"-";"-";"-";"34007";"30199";"92";"67";"30040";"6577";"1086";"2820";"2464";"-";"123";"-";"5298";"-";"-";"10416";"948";"-";"308";"-";"-";"-";"-";"-";"-";"-";"-";"-";"34700";"31015";"144";"94";"30777";"7919";"1072";"2792";"1217";"568";"-";"-";"4784";"424";"-";"11558";"-";"109";"334";"-";"-";"-";"-";"-";"-";"-";"-";"-";"34074";"29433";"156";"49";"29228";"6087";"2088";"2850";"1176";"301";"267";"-";"5545";"-";"54";"10369";"-";"-";"491";"-";"-";"-";"-";"-";"-";"-";"-";"-";"35535";"30621";"146";"118";"30357";"7504";"2095";"1955";"1977";"860";"259";"694";"3312";"-";"-";"9194";"-";"-";"1128";"443";"4";"-";"-";"688";"244";"-";"-";"-"
"259011";"259";"43192";"37607";"318";"139";"37150";"9517";"1310";"1109";"2428";"-";"115";"2675";"9175";"-";"-";"7707";"-";"-";"2069";"1021";"12";"11";"1";"-";"-";"-";"-";"-";"41299";"36762";"229";"163";"36370";"8309";"2957";"1953";"3183";"-";"103";"1883";"6112";"-";"-";"9905";"-";"-";"1957";"-";"6";"2";"0";"-";"-";"-";"-";"-";"40892";"36032";"161";"104";"35767";"9283";"1348";"3377";"4034";"-";"125";"-";"6058";"-";"-";"9956";"1071";"-";"515";"-";"-";"-";"-";"-";"-";"-";"-";"-";"39295";"34878";"258";"110";"34510";"10558";"1300";"2839";"1781";"548";"-";"-";"4998";"535";"-";"11199";"-";"151";"601";"-";"-";"-";"-";"-";"-";"-";"-";"-";"40098";"34395";"232";"94";"34069";"8802";"2548";"2984";"1749";"374";"293";"-";"5872";"-";"75";"10456";"-";"-";"916";"-";"-";"-";"-";"-";"-";"-";"-";"-";"44170";"37924";"293";"84";"37547";"8573";"2287";"2683";"5855";"999";"290";"742";"3498";"-";"-";"9416";"-";"-";"1430";"573";"6";"-";"-";"855";"340";"-";"-";"-"
"260002";"260";"23296";"19683";"126";"74";"19483";"5519";"446";"441";"1058";"-";"92";"1122";"5031";"-";"-";"3308";"-";"-";"1595";"864";"5";"2";"-";"-";"-";"-";"-";"-";"23218";"20069";"110";"66";"19893";"5073";"1436";"681";"1969";"-";"85";"896";"2955";"-";"-";"5399";"-";"-";"1392";"-";"7";"-";"-";"-";"-";"-";"-";"-";"22951";"19482";"80";"42";"19360";"5274";"919";"1458";"2403";"-";"126";"-";"3494";"-";"-";"4721";"539";"-";"426";"-";"-";"-";"-";"-";"-";"-";"-";"-";"22366";"19295";"177";"43";"19075";"6400";"763";"1096";"1231";"352";"-";"-";"2787";"319";"-";"5569";"-";"122";"436";"-";"-";"-";"-";"-";"-";"-";"-";"-";"22499";"18498";"118";"39";"18341";"5052";"1588";"1373";"1019";"198";"210";"-";"3280";"-";"44";"4916";"-";"-";"661";"-";"-";"-";"-";"-";"-";"-";"-";"-";"23704";"19613";"132";"63";"19418";"5650";"1027";"980";"1881";"763";"162";"306";"2272";"-";"-";"4044";"-";"-";"1186";"471";"1";"25";"-";"409";"241";"-";"-";"-"
